fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,month
0,0.3,0.986506310633034,-1,25,40,0.0067353870811739,102.45371092469456,AA,1059,13096.035018400871,7850.955007125409,6742.080561007602,5,5,CB,163,1,BC,0,1,9,0,1500.0,0,INTERNET,16.224843433978073,linux,1,1,0
0,0.8,0.6174260062650061,-1,89,20,0.010095097878573,-0.8495509687507287,AD,1658,9223.283430930423,5745.251480643791,5941.6648588359885,3,18,CA,154,1,BC,1,1,2,0,1500.0,0,INTERNET,3.36385371062431,other,1,1,0
0,0.8,0.9967070206409232,9,14,40,0.0123163495250501,-1.4903855214855013,AB,1095,4471.472148765561,5471.988958014066,5992.555113248597,15,11,CA,89,1,BC,0,1,30,0,200.0,0,INTERNET,22.73055923496224,windows,0,1,0
0,0.6000000000000001,0.4750999462380287,11,14,30,0.0069908306305029,-1.8631006767118188,AB,3483,14431.993621381194,6755.34447929092,5970.336830507939,11,13,CA,90,1,BC,0,1,1,0,200.0,0,INTERNET,15.215816122068803,linux,1,1,0
0,0.9,0.8423068370138775,-1,29,40,5.742625847255586,47.152497798787614,AA,2339,7601.511579253147,5124.046929628144,5940.734211620649,1,6,CA,91,0,BC,1,1,26,0,200.0,0,INTERNET,3.743047928033851,other,0,1,0
0,0.6000000000000001,0.2948404635987846,-1,369,30,0.024231885459018,-1.232556198255754,AD,1204,11556.955513727777,7506.951275553085,6482.924037404599,705,5,CB,134,1,BE,1,1,30,0,200.0,0,INTERNET,6.987315503150867,linux,1,1,0
0,0.2,0.7730854651787792,22,4,40,0.0069193596555432,-0.5446764953031848,AB,1998,11723.993606010376,7864.277143635152,6338.799156196561,28,8,CA,72,1,BC,1,1,1,0,200.0,0,INTERNET,28.19992278516053,x11,1,1,0
0,0.8,0.153880432777335,-1,103,40,0.0451218390683624,-1.1011844334405805,AB,1548,4999.555800752307,4526.861667090668,6426.790816709525,6,7,CA,163,0,BE,1,1,25,1,200.0,0,INTERNET,11.23426418538036,other,1,1,0
0,0.3,0.5236546591292989,21,2,30,0.0352056883298541,-0.9557372072420892,AB,1781,6979.9940022111805,4335.68534636426,6624.957941677998,2,10,CA,35,0,BC,1,0,2,0,200.0,0,INTERNET,5.329386683741856,other,1,1,0
0,0.8,0.8344745881003516,-1,134,20,0.0172445227162768,-1.3563931999585843,AD,3113,7549.992085884615,6273.922109554705,6312.998834706559,14,20,CA,201,1,BD,1,1,15,0,1500.0,0,INTERNET,4.103969778315406,other,1,1,0
0,0.9,0.4750148740479939,-1,67,50,0.008162056665278,-0.9476592716157056,AB,2998,7452.139159999395,6026.624267390926,6305.932829661439,11,9,CA,184,0,BA,1,1,1,0,1500.0,0,INTERNET,2.892487656957805,other,1,1,0
0,0.8,0.333012708390063,-1,14,40,0.0003075942229916,53.106292250257646,AA,2355,5585.827390065845,6381.506857907663,6392.364926146369,2,6,CA,136,0,BA,0,1,15,0,1500.0,0,INTERNET,32.90878723758514,other,1,1,0
0,0.1,0.7674319367073007,-1,34,20,0.0213463384257696,-0.6698555056935508,AB,2491,6652.516397836012,6720.662514085203,5987.011108097575,692,22,CA,84,1,BE,0,1,30,0,200.0,0,INTERNET,4.199729019965292,other,0,2,0
0,0.9,0.8660885394584622,-1,33,30,0.0346622107876037,-0.9752302011240784,AD,1249,10746.590276044511,5163.3884706598055,6734.662449722037,18,8,CA,123,0,BA,1,1,30,0,1500.0,0,INTERNET,20.607228892568408,macintosh,0,1,0
0,0.9,0.0526151465040271,-1,156,30,0.025659621303539,-1.5701643273245482,AD,1685,10282.430084742316,7499.069980705641,6785.3688568162925,28,16,CB,88,1,BA,0,1,1,0,200.0,0,INTERNET,6.324050439402358,linux,1,1,0
0,0.9,0.5207181701575837,-1,31,50,0.0057293932249281,-1.0082232359577044,AC,597,2778.119599099028,6002.7218898542615,6303.077748491805,12,26,CA,80,1,BC,0,1,10,0,200.0,0,INTERNET,3.7319703156421618,linux,1,1,0
0,0.8,0.1223696301274405,-1,20,30,0.023472004150741,-0.8816399994033612,AD,1655,4721.783888802728,3678.936076294419,6380.760673482324,26,15,CA,118,0,BC,0,0,30,0,200.0,0,INTERNET,7.836945285596486,windows,1,1,0
0,0.6000000000000001,0.4829057489273572,-1,38,40,0.03792492562703,-0.9946136114088656,AC,2774,5692.610361988332,5099.913245706173,6706.703152553651,1,10,CA,137,1,BC,0,1,-1,0,200.0,0,INTERNET,4.486325958572444,other,1,1,0
0,0.2,0.527750863793881,13,114,20,0.0031714486317217,-0.8483468522514769,AB,4389,12256.250056284667,5390.9504308211135,6330.661519362458,1839,18,CA,49,0,BB,1,1,15,0,200.0,0,INTERNET,2.8381944569562854,windows,1,2,0
