Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Personal Loan,Credit-Builder Loan,Debt Consolidation Loan,Mortgage Loan,Student Loan,Payday Loan,Auto Loan,Home Equity Loan
April,38.0,Lawyer,18040.67,1270.3891666666666,5.0,5.0,27.0,5.0,15.0,20.0,7.44,6.0,1.0,1874.52,34.90189147962717,143.0,Yes,53.73438354250983,110.61141777659368,Low_spent_Small_value_payments,252.69311534756318,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
January,46.0,Doctor,126091.71,10406.6425,1.0,5.0,6.0,0.0,0.0,6.0,5.38,2.0,2.0,1456.29,32.252411365857235,225.0,No,0.0,564.645200344087,Low_spent_Small_value_payments,736.0190496559129,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
June,20.0,Accountant,80436.12,6643.009999999998,3.0,4.0,13.0,6.0,12.0,19.0,7.59,12.0,2.0,2409.33,34.965621164503695,90.0,Yes,304.6317070026947,146.2535063895173,High_spent_Small_value_payments,473.415786607788,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
May,15.0,Scientist,9700.81,870.4008333333333,9.0,7.0,14.0,3.0,21.0,22.0,4.82,13.0,2.0,2542.15,39.30907593269949,156.0,Yes,21.757519843386916,110.03590385510677,Low_spent_Small_value_payments,245.24665963483972,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
May,55.0,Mechanic,39327.92,3233.3266666666664,1.0,6.0,11.0,1.0,16.0,9.0,1.51,3.0,2.0,127.29,30.394167779315428,374.0,No,19.80976190893261,135.55480311577125,Low_spent_Large_value_payments,437.9681016419628,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May,40.0,Scientist,58051.53,4819.6275,10.0,7.0,32.0,8.0,30.0,19.0,2.48,12.0,0.0,2156.34,32.36050442380406,191.0,Yes,312.64465725840887,223.13329675333046,High_spent_Small_value_payments,206.18479598826062,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
April,25.0,Doctor,85248.15,6891.0125,4.0,5.0,5.0,2.0,6.0,4.0,6.24,5.0,2.0,1326.06,39.231326577421285,293.0,No,113.4336024221999,197.39237650074898,Low_spent_Medium_value_payments,658.2752710770512,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
August,24.0,Journalist,9608.03,735.6691666666667,7.0,5.0,10.0,6.0,9.0,11.0,12.44,5.0,1.0,1494.17,31.37025171981663,166.0,Yes,25.46799855634962,40.111200274574344,Low_spent_Small_value_payments,297.98771783574267,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
March,39.0,Writer,31369.58,2607.1316666666667,8.0,9.0,27.0,8.0,28.0,22.0,19.7,6.0,0.0,1178.69,29.95451332371943,145.0,No,171.7484180470571,99.53821909077172,Low_spent_Medium_value_payments,269.4265295288379,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
June,38.0,Teacher,17172.14,1381.0116666666663,5.0,6.0,15.0,3.0,22.0,19.0,19.21,6.0,1.0,2334.98,35.616293154339964,121.0,Yes,24.95699192158311,36.24110535660967,High_spent_Medium_value_payments,326.9030693884739,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
